Institution,Collection_Number,Species,State,County,Locality,Latitude,Longitude,Basin,Drainage
FMNH,117903,Siren intermedia,Arkansas,Lawrence,,35.996974,-91.135302,,
FMNH,117904,Siren intermedia,Arkansas,Lawrence,,35.996974,-91.135302,,
FMNH,270698,Siren intermedia,Mississippi,Clay,2.4 mi SE West Point,33.575373,-88.620437,,
FMNH,84097,Siren intermedia,Texas,Dickens,Elton,33.70425,-100.83887,,
FMNH,247632,Siren intermedia,Georgia,Wilcox,"Spring Lakes, ca 1.5 mi E Bowen's Mill State Fish Hatchery, Guy Fuller's Camp, sinkhole #3",31.84677,-83.1847553,,
FMNH,208281,Siren intermedia,Florida,Alachua,"6 mi S Gainesville, Payne's Pairie",29.564523,-82.324826,,
FMNH,208282,Siren intermedia,Florida,Alachua,"6 mi S Gainesville, Payne's Pairie",29.564523,-82.324826,,
FMNH,193465,Siren intermedia,Mississippi,Bolivar,0.25 mi W Gunnison,33.94389,-90.9491,,
FMNH,193457,Siren intermedia,Mississippi,,Jackson,32.3363252,-90.1826786,,
FMNH,193467,Siren intermedia,Mississippi,Noxubee,"Noxubee National Wildlife Refuge, roadside ponds along W side Bluff Lake",33.2817824,-88.8040039,,
FMNH,193456,Siren intermedia,Mississippi,Oktibbeha,18 mi S Starkville near Bluff Lake,33.2882029,-88.7899596,,
FMNH,193463,Siren intermedia,Mississippi,Bolivar,0.25 mi W Gunnison,33.94389,-90.9491,,
FMNH,193458,Siren intermedia,Mississippi,Sunflower,7 mi E Indianola off US 82,33.461643,-90.5012058,,
FMNH,193459,Siren intermedia,Mississippi,Oktibbeha,"7 mi out on Highway 25, pond 400 yards off highway",33.4262387,-88.8359345,,
FMNH,193464,Siren intermedia,Mississippi,Bolivar,0.25 mi W Gunnison,33.94389,-90.9491,,
FMNH,193460,Siren intermedia,Mississippi,Oktibbeha,"Bluff Lake Refuge, Noxubee River",33.2894585,-88.7661785,,
FMNH,84086,Siren intermedia intermedia,Georgia,,"Dedge Pond, 2 mi E Chesser's Island, Okefinokee Swamp",30.7227,-82.1223,,
FMNH,84083,Siren intermedia intermedia,Mississippi,,"West Pascagoula River, Patigaw Bayou",30.5175664,-88.619523,,
FMNH,5906,Siren intermedia intermedia,Florida,Marion,,29.210202,-82.056676,,
FMNH,59235,Siren intermedia intermedia,Florida,Highlands,small pond near Lake Placid,27.242382,-81.363545,,
FMNH,59234,Siren intermedia intermedia,Florida,Highlands,small pond near Lake Placid,27.242382,-81.363545,,
FMNH,84084,Siren intermedia intermedia,Mississippi,,"West Pascagoula River, Patigaw Bayou",30.5175664,-88.619523,,
FMNH,84085,Siren intermedia intermedia,Georgia,,"Chesser's I, Okefenokee Swamp",30.7072,-82.16,,
FMNH,191057,Siren intermedia nettingi,Illinois,Union,Pine Hills,37.56945,-89.43228,,
FMNH,191058,Siren intermedia nettingi,Illinois,Union,Pine Hills,37.56945,-89.43228,,
FMNH,191060,Siren intermedia nettingi,Illinois,Union,Pine Hills,37.56945,-89.43228,,
FMNH,191059,Siren intermedia nettingi,Illinois,Union,Pine Hills,37.56946,-89.43228,,
FMNH,247636,Siren intermedia,Georgia,Wilcox,1.5 mi E Bowen's Mill,31.84677,-83.1847553,,
